"major1","Gender","GPA.Range","year.x","survey_city","survey_company","survey_deptfunc","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","latitude","longitude","survey_company_cluster_name"
"Finance","Female","3.50 - 4.00","2020","cincinnati","fifth third bank","Analytics","3","accepted fulltime job","Yes","Yes",90000,"Ohio","39.1014537","-84.5124602","fifth third bank"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2021","chicago","mcdonald's corporation","Logistics / Supply Chain","2","accepted fulltime job","Yes","Yes",64500,"Illinois","41.8755616","-87.6244212","mcdonald's"
"Finance","Female","3.50 - 4.00","2021","chicago","rsm","Accounting Consulting Finance","2","accepted fulltime job","Yes","Yes",66200,"Illinois","41.8755616","-87.6244212","rsm"
"Information Systems","Female","3.50 - 4.00","2019","cincinnati","ge aviation","Information Technology","2","accepted fulltime job","Yes","Yes",82000,"Ohio","39.1014537","-84.5124602","ge aviation"
"Supply Chain & Operations Mgmt","Male","3.50 - 4.00","2020","columbus","kpmg","Consulting IT Assurance / IT Audit Information Technology","2","accepted fulltime job","Yes","Yes",65000,"Ohio","39.9622601","-83.0007065","kpmg"
"Marketing","Male","3.00 - 3.49","2021","cincinnati","g3 marketing",NA,"2","accepted fulltime job",NA,NA,40000,"Ohio","39.1014537","-84.5124602","g3 marketing"
"Marketing","Female","3.00 - 3.49","2020","cincinnati","target",NA,NA,"accepted fulltime job",NA,NA,64000,"Ohio","39.1014537","-84.5124602","target"
"Marketing","Male","3.00 - 3.49","2019","chicago","sthree","Human Resources
 Marketing / Sales","3","accepted fulltime job","Yes","Yes",40000,"Illinois","41.8755616","-87.6244212","the home depot"
"Supply Chain & Operations Mgmt","Male","3.50 - 4.00","2020","dallas","dhl","Analytics General Management Logistics / Supply Chain Operations / Procurement","1","accepted fulltime job","Yes","Yes",52500,"Texas","32.7762719","-96.7968559","dhl"
"Finance","Male","3.00 - 3.49","2020","columbus","tql","Marketing / Sales","1","accepted fulltime job","No","Yes",NA,"Ohio","39.9622601","-83.0007065","tql"
"Marketing","Female","3.50 - 4.00","2019","indianpolis","pfl - orr fellowship","Marketing / Sales","1","accepted fulltime job","Yes","Yes",50000,NA,NA,NA,"pfl - orr fellowship"
"Accountancy","Female","3.50 - 4.00","2019","columbus","nationwide","Accounting
 Finance","1","accepted fulltime job","Yes","Yes",67500,NA,"39.9622601","-83.0007065","nationwide"
"Finance","Female","3.00 - 3.49","2019","columbus","clearsulting","Consulting","4","accepted fulltime job","Yes","Yes",50000,"Ohio","39.9622601","-83.0007065","clearsulting"
"Accountancy","Male","3.50 - 4.00","2020","cincinnati","deloitte","Accounting Finance","0","accepted fulltime job","Yes","Yes",52000,"Ohio","39.1014537","-84.5124602","deloitte"
"Management and Leadership","Male","3.00 - 3.49","2021","minneapolis","medtronic","E&J Gallo","1","accepted fulltime job","Yes","Yes",60500,NA,"44.9772995","-93.2654692","medtronic"
"Human Capital Mgmt& Leadership","Male","3.50 - 4.00","2021","columbus","huntington national bank","Human Resources","1","accepted fulltime job","Yes","Yes",53000,"Ohio","39.9622601","-83.0007065","huntington national bank"
"Accountancy","Male","3.50 - 4.00","2020","seattle","microsoft","Accounting Finance","4","accepted fulltime job","Yes","Yes",85000,"Washington","47.6038321","-122.3300624","microsoft"
"Accountancy","Female","3.50 - 4.00","2021","cincinnati","ey","Accounting","1","accepted fulltime job","Yes","Yes",53000,"Ohio","39.1014537","-84.5124602","ey"
"Business Economics","Male","2.00 - 2.49","2020","washington","booz allen hamilton","Consulting","0","accepted fulltime job","Yes","Yes",61700,NA,"38.8950368","-77.0365427","booz allen hamilton"
"Marketing","Female","3.00 - 3.49","2021","chicago","coyote logistics","Marketing / Sales","1","accepted fulltime job","Yes","Yes",45000,"Illinois","41.8755616","-87.6244212","coyote logistics"
"Finance","Male","3.50 - 4.00","2020","charlotte","florida panthers","Other: Professional Athletics","10","accepted fulltime job","Yes","Yes",70000,"North Carolina","35.2272086","-80.8430827","florida panthers"
"Marketing","Male","3.00 - 3.49","2019","chicago","omd usa",NA,NA,"accepted fulltime job",NA,NA,50000,"Illinois","41.8755616","-87.6244212","omd usa"
"Information Systems","Male","3.00 - 3.49","2020","chicago","origami risk",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","origami risk"
"Finance","Male","3.00 - 3.49","2020","denver","integro",NA,"0","accepted fulltime job",NA,NA,NA,"Colorado","39.7392364","-104.9848623","integro"
"Information Systems","Male","3.00 - 3.49","2021","chicago","peloton consulting group","Consulting Human Resources Information Technology","2","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","peloton consulting group"
"Marketing","Female","3.50 - 4.00","2019","columbus","dhl","Marketing / Sales","3","accepted fulltime job","Yes","Yes",40000,NA,"39.9622601","-83.0007065","dhl"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2021","brooklynheights","north shore strapping","Logistics / Supply Chain Marketing / Sales","2","accepted fulltime job","No","Yes",NA,"Ohio",NA,NA,"north shore strapping"
"Finance","Male","3.00 - 3.49","2021","newyorkcity","jp morgan","Finance","1","accepted fulltime job","Yes","Yes",84000,"New York","34.6732303","-1.9146444","jp morgan"
"Marketing","Male","3.00 - 3.49","2019","sanfrancisco","socialchorus","Marketing/Sales",NA,"accepted fulltime job","No","Yes",NA,"California","-0.248906","-78.5173812","socialchorus"
"Finance","Male","3.50 - 4.00","2020","chicago","prudential private capital","Finance","3","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","prudential private capital"
"Finance","Female","3.50 - 4.00","2020","chicago","harrison street","Finance","3","accepted fulltime job","Yes","Yes",65000,"Illinois","41.8755616","-87.6244212","harrison street"
"Finance","Female","3.00 - 3.49","2020","jerseycity","peloton consulting group","Consulting Information Technology","1","accepted fulltime job","Yes","Yes",65000,"New Jersey",NA,NA,"peloton consulting group"
"Marketing","Male","2.50 - 2.99","2019","cincinnati","total quality logistics",NA,NA,"accepted fulltime job",NA,NA,35000,"Ohio","39.1014537","-84.5124602","total quality logistics"
"Marketing","Female","3.00 - 3.49","2019",NA,"lbrands","Logistics / Supply Chain","3","accepted fulltime job","Yes","Yes",60000,"Ohio",NA,NA,"lbrands"
"Marketing","Male","3.00 - 3.49","2020","cincinnati","ge aviation","IT Assurance / IT Audit Information Technology Other: Development Program","2","accepted fulltime job","Yes","Yes",80000,"Ohio","39.1014537","-84.5124602","ge aviation"
"Accountancy","Female","3.00 - 3.49","2021","cincinnati","protiviti",NA,"0","accepted fulltime job","Yes","Yes",NA,NA,"39.1014537","-84.5124602","protiviti"
"Marketing","Female","3.00 - 3.49","2021","burlington","burlington stores","Other: Fashion","3","accepted fulltime job","Yes","Yes",58000,"New Jersey","44.4761601","-73.212906","burlington stores"
"Finance","Male","3.50 - 4.00","2021","dublin","the sygma network",NA,"1","accepted fulltime job","Yes","Yes",60000,NA,"53.3497645","-6.2602732","the home depot"
"Supply Chain & Operations Mgmt","Female","2.50 - 2.99","2019","chicago","load delivered logistics","Logistics / Supply Chain","2","accepted fulltime job","Yes","Yes",40000,NA,"41.8755616","-87.6244212","load delivered logistics"
"Marketing","Female","3.50 - 4.00","2020","cincinnati","delight ministries",NA,NA,"accepted fulltime job",NA,NA,NA,"Ohio","39.1014537","-84.5124602","alight solutions"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2020",NA,"reyes beer division",NA,"0","accepted fulltime job",NA,NA,NA,NA,NA,NA,"reyes beer division"
"Accountancy","Male","3.50 - 4.00","2019","columbus","deloitte",NA,NA,"accepted fulltime job",NA,NA,53000,"Ohio","39.9622601","-83.0007065","deloitte"
"Finance","Female","3.00 - 3.49","2019",NA,"goldman sachs","Other: Risk",NA,"accepted fulltime job","Yes","Yes",70000,"Utah",NA,NA,"goldman sachs"
"Business Economics","Male","3.00 - 3.49","2020","charlotte","red ventures","Analytics Consulting Marketing / Sales","3","accepted fulltime job","Yes","Yes",65000,"North Carolina","35.2272086","-80.8430827","red ventures"
"Accountancy","Male","3.50 - 4.00","2021","chicago","pwc","Accounting Consulting Finance IT Assurance / IT Audit Information Technology","1","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","pwc"
"Finance","Male","2.50 - 2.99","2020","chicago","arrive logistics","Marketing / Sales","1","accepted fulltime job","No","Yes",42000,"Illinois","41.8755616","-87.6244212","arrive logistics"
"Finance","Male","2.50 - 2.99","2020","stlouis","rubinbrown advisors",NA,"0","accepted fulltime job",NA,NA,NA,"Missouri","35.9056067","14.425344","rubinbrown advisors"
"Human Capital Mgmt& Leadership","Female","3.00 - 3.49","2021","plymouth","frito lay","General Management Operations / Procurement","1","accepted fulltime job","Yes","Yes",67000,"Michigan","50.3712659","-4.1425658","frito lay"
"Information Systems","Male","3.00 - 3.49","2020","westcarrollton","insight enterprises","Information Technology","1","accepted fulltime job","Yes","Yes",65000,"Ohio",NA,NA,"insight2profit"
"Accountancy","Male","3.50 - 4.00","2021","cleveland","crowe",NA,NA,"accepted fulltime job",NA,NA,57000,"Ohio","41.4996562","-81.6936813","crowe"
"Management and Leadership","Male","2.50 - 2.99","2019","chicago","peloton group consulting","Consulting",NA,"accepted fulltime job","Yes","Yes",60000,"Illinois","41.8755616","-87.6244212","peloton consulting group"
"Finance","Male","3.00 - 3.49","2021","desmoines","bank iowa corporation","Finance","2","accepted fulltime job","Yes","Yes",50000,"Iowa","40.5148473","21.6861963","bank iowa corporation"
"Accountancy","Male","3.50 - 4.00","2019","cleveland","deloitte","Consulting","2","accepted fulltime job","Yes","Yes",80000,NA,"41.4996562","-81.6936813","deloitte"
"Finance","Female","3.00 - 3.49","2021","chicago","crowe llp","Accounting Consulting Finance","1","accepted fulltime job","Yes","Yes",69000,"Illinois","41.8755616","-87.6244212","crowe"
"Accountancy","Male","3.50 - 4.00","2019","chicago","ey","Accounting","4","accepted fulltime job","Yes","Yes",63000,"Illinois","41.8755616","-87.6244212","ey"
"Finance","Female","3.00 - 3.49","2021","newyorkcity","ey","Consulting Finance","2","accepted fulltime job","Yes","Yes",72500,"New York","34.6732303","-1.9146444","ey"
"Accountancy","Female","3.50 - 4.00","2019","pittsburgh","pwc","Accounting","1","accepted fulltime job","Yes","Yes",50000,NA,"40.4416941","-79.9900861","pwc"
"Supply Chain & Operations Mgmt","Male","3.50 - 4.00","2019","columbus","dhl","Logistics / Supply Chain","1","accepted fulltime job","Yes","Yes",52500,NA,"39.9622601","-83.0007065","dhl"
"Finance","Male","3.00 - 3.49","2021","augusta","textron",NA,"1","accepted fulltime job","Yes","Yes",60000,"Georgia","33.4709714","-81.9748429","textron specialized vehicles"
"Finance","Male","2.50 - 2.99","2020","cleveland","quicken loans",NA,NA,"accepted fulltime job",NA,NA,45000,"Ohio","41.4996562","-81.6936813","quicken loans"
"Marketing","Female","3.50 - 4.00","2019","columbus","abercrombie","Merchandizing","1","accepted fulltime job","Yes","Yes",62500,NA,"39.9622601","-83.0007065","abercrombie & fitch"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2021","columbus","dhl supply chain",NA,"2","accepted fulltime job","Yes","Yes",NA,"Ohio","39.9622601","-83.0007065","dhl"
"Supply Chain & Operations Mgmt","Female","3.50 - 4.00","2019","raymond","honda of america manufacturing","Operations / Procurement","1","accepted fulltime job","Yes","Yes",54900,"Ohio","46.97034515","2.6852129959851014","honda of america manufacturing"
"Finance","Female","3.50 - 4.00","2020","chicago","accenture","Consulting","1","accepted fulltime job","Yes","Yes",79500,"Illinois","41.8755616","-87.6244212","accenture"
"Management and Leadership","Male","2.50 - 2.99","2019","chicago","arrive logistics","Marketing/Sales","3","accepted fulltime job","Yes","Yes",44000,"Illinois","41.8755616","-87.6244212","arrive logistics"
"Marketing","Male","3.00 - 3.49","2020","chicago","kellymitchell group",NA,NA,"accepted fulltime job",NA,NA,NA,"Illinois","41.8755616","-87.6244212","kellymitchell group"
"Business Economics","Male","3.50 - 4.00","2019","chicago","the hackett group","Consulting","4","accepted fulltime job","Yes","Yes",73000,"Illinois","41.8755616","-87.6244212","the home depot"
"Marketing","Female","3.50 - 4.00","2019","kettering","reynolds and reynolds","Marketing / Sales","2","accepted fulltime job","Yes","Yes",38000,"Ohio","39.6895036","-84.1688274","reynolds and reynolds"
"Human Capital Mgmt& Leadership","Male","3.00 - 3.49","2021","chicago","bearingpoint",NA,"4","accepted fulltime job","Yes","Yes",70000,"Illinois","41.8755616","-87.6244212","bearingpoint"
"Accountancy","Male","3.50 - 4.00","2019","columbus","ernst and young","Accounting","1","accepted fulltime job","Yes","Yes",51000,"Ohio","39.9622601","-83.0007065","ernst & young"
"Supply Chain & Operations Mgmt","Male","3.00 - 3.49","2019","twinsburg","rock well","Logistics/Supply Chain","2","accepted fulltime job","Yes","Yes",52000,"Ohio","41.3125552","-81.4401129","rock well"
"Marketing","Male","2.50 - 2.99","2020","sandiego","flock freight",NA,"0","accepted fulltime job",NA,NA,NA,"California","-29.5992823","-51.9260001","flock freight"
"Finance","Male","3.50 - 4.00","2020","cleveland","quicken loans","Finance Marketing / Sales","2","accepted fulltime job","Yes","Yes",45000,"Ohio","41.4996562","-81.6936813","quicken loans"
"Marketing","Male","3.00 - 3.49","2021",NA,"pepsico",NA,NA,"accepted fulltime job",NA,NA,65000,NA,NA,NA,"pepsico"
"Marketing","Male","3.00 - 3.49","2021","cleveland","pepsico",NA,"2","accepted fulltime job","Yes","No",65000,"Ohio","41.4996562","-81.6936813","pepsico"
"Accountancy","Female","3.00 - 3.49","2020","columbus","huntington national bank","Accounting","1","accepted fulltime job","Yes","Yes",58000,"Ohio","39.9622601","-83.0007065","huntington national bank"
"Accountancy","Male","3.00 - 3.49","2021","carmel","dauby, o'connor & zaleski","Accounting","2","accepted fulltime job","Yes","No",57500,"Indiana","39.9788017","-86.1189257","dauby, o'connor & zaleski"
"Accountancy","Male","3.00 - 3.49","2020","cleveland","rsm","Accounting","2","accepted fulltime job","Yes","Yes",56000,"Ohio","41.4996562","-81.6936813","rsm"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2020",NA,"dhl",NA,NA,"accepted fulltime job",NA,NA,52500,NA,NA,NA,"dhl"
"Marketing","Female","3.50 - 4.00","2021","remote","cigna","Marketing / Sales","1","accepted fulltime job","Yes","Yes",55000,NA,"43.0059455","-123.8925908","cigna"
"Finance","Male","3.00 - 3.49","2019","chicago","j.p morgan","Finance","2","accepted fulltime job","Yes","Yes",95000,"Illinois","41.8755616","-87.6244212","j.p morgan"
"Finance","Male","3.50 - 4.00","2019","columbus","jpmorgan chase & co.","Finance
 General Management","1","accepted fulltime job","Yes","Yes",57000,"Ohio","39.9622601","-83.0007065","jpmorgan chase & co."
"Business Analytics","Male","3.00 - 3.49","2021","brooklyn","underdog fantasy","Analytics Operations / Procurement","2","accepted fulltime job","Yes","Yes",60000,"New York","40.6526006","-73.9497211","underdog fantasy"
"Marketing","Female","3.50 - 4.00","2021","minneapolis","cintas","General Management Logistics / Supply Chain Marketing / Sales","1","accepted fulltime job","Yes","Yes",50000,"Minnesota","44.9772995","-93.2654692","cintas"
"Marketing","Male","3.00 - 3.49","2020","rollingmeadows","merrill edge",NA,"0","accepted fulltime job",NA,NA,NA,"Illinois",NA,NA,"merrill edge"
"Finance","Male","3.00 - 3.49","2020","chicago","fifth third bank","Finance","1","accepted fulltime job","Yes","Yes",62000,"Illinois","41.8755616","-87.6244212","fifth third bank"
"Supply Chain & Operations Mgmt","Male","2.50 - 2.99","2021","middletown","cleveland cliffs","Logistics / Supply Chain","6","accepted fulltime job","Yes","Yes",65000,"Ohio","41.5623178","-72.6509061","cleveland cliffs"
"Marketing","Male","3.00 - 3.49","2019","oakbrook","cbre","Other: Brokerage","2","accepted fulltime job","Yes","Yes",60000,NA,"39.1806323","-81.5206784","cbre"
"Finance","Female","3.50 - 4.00","2019","chicago","jpmorgan chase","Finance","1","accepted fulltime job","Yes","Yes",65000,"Illinois","41.8755616","-87.6244212","jpmorgan chase & co."
"Supply Chain & Operations Mgmt","Male","3.50 - 4.00","2021","springfield","aldi usa","General Management","1","accepted fulltime job","Yes","Yes",80000,"Ohio","39.7990175","-89.6439575","aldi usa"
"Marketing","Male","3.50 - 4.00","2021","chicago","accenture","Consulting","2","accepted fulltime job","Yes","Yes",80000,"Illinois","41.8755616","-87.6244212","accenture"
"Finance","Female","3.00 - 3.49","2021","manhattan","vts inc.","Marketing / Sales","1","accepted fulltime job","Yes","Yes",65000,"New York","40.7896239","-73.9598939","vts inc."
"Marketing","Male","3.00 - 3.49","2020","newyorkcity","futurebrand",NA,NA,"accepted parttime job",NA,NA,NA,"New York","34.6732303","-1.9146444","futurebrand"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2020","marietta","peoples bank",NA,"0","accepted fulltime job",NA,NA,NA,"Ohio","33.9528472","-84.5496148","peoples bank"
"Marketing","Female","3.00 - 3.49","2021","pittsburgh","american eagle outfitters","Logistics / Supply Chain","1","accepted fulltime job","Yes","Yes",52000,"Pennsylvania","40.4416941","-79.9900861","american eagle outfitters"
"Finance","Male","3.00 - 3.49","2019","newyorkcity","oppenheimer & co inc.",NA,NA,"accepted fulltime job",NA,NA,NA,"New York","34.6732303","-1.9146444","oppenheimer & co inc."
"Finance","Male","3.00 - 3.49","2021","cincinnati","skylight financial group",NA,NA,"accepted fulltime job",NA,NA,65000,"Ohio","39.1014537","-84.5124602","skylight financial group"
"Information Systems","Male","3.50 - 4.00","2019","cincinnati","grant thornton","IT Assurance / IT Audit","1","accepted fulltime job","Yes","Yes",55000,NA,"39.1014537","-84.5124602","grant thornton"
"Finance","Male","3.00 - 3.49","2020","columbus","kpmg","Accounting Consulting IT Assurance / IT Audit","2","accepted fulltime job","Yes","Yes",60000,"Ohio","39.9622601","-83.0007065","kpmg"
"Marketing","Female","3.50 - 4.00","2021","columbus","victoria's secret","Other: Merchandising","2","accepted fulltime job","Yes","Yes",60000,"Ohio","39.9622601","-83.0007065","victoria's secret"
"Accountancy","Male","3.50 - 4.00","2019","chicago","peloton consulting group","Accounting
 Consulting
 Finance","3","accepted fulltime job","Yes","Yes",60000,NA,"41.8755616","-87.6244212","peloton consulting group"
"Supply Chain & Operations Mgmt","Female","3.00 - 3.49","2019","cincinnati","terillium","Logistics / Supply Chain","1","accepted fulltime job","Yes","Yes",55000,NA,"39.1014537","-84.5124602","terillium"
"Finance","Male","3.00 - 3.49","2020","chicago","aon","Accounting Analytics Finance","1","accepted fulltime job","Yes","Yes",58000,"Illinois","41.8755616","-87.6244212","aon"
"Marketing","Male","3.00 - 3.49","2020","chicago","cdw","Marketing / Sales","1","accepted fulltime job","Yes","Yes",30000,"Illinois","41.8755616","-87.6244212","cdw"
"Accountancy","Female","3.50 - 4.00","2019","charlotte","deloitte","Accounting","3","accepted fulltime job","Yes","Yes",53000,NA,"35.2272086","-80.8430827","deloitte"
"Finance","Male","3.00 - 3.49","2021","chicago","fifth third bank","Finance","2","accepted fulltime job","Yes","Yes",63000,"Illinois","41.8755616","-87.6244212","fifth third bank"
"Marketing","Female","3.50 - 4.00","2019","cincinnati","carew international",NA,"0","accepted fulltime job",NA,NA,NA,"Ohio","39.1014537","-84.5124602","carew international"
"Finance","Female","3.00 - 3.49","2020","rochester","jp morgan","Finance","2","accepted fulltime job","Yes","No",75000,"New York","43.157285","-77.615214","jp morgan"
"Accountancy","Female","2.50 - 2.99","2019","bellevue","microsoft","Finance
 Marketing / Sales
 Operations / Procurement","1","accepted fulltime job","Yes","Yes",90500,NA,"47.6144219","-122.192337","microsoft"
"Finance","Male","3.00 - 3.49","2021","cleveland","bellmark partners","Finance","1","accepted fulltime job","Yes","Yes",65000,"Ohio","41.4996562","-81.6936813","bellmark partners"
"Marketing","Female","3.00 - 3.49","2019","indianapolis","comcast","Advertising / Public Relations
 Marketing / Sales","3","accepted fulltime job","Yes","Yes",40000,NA,"39.7683331","-86.1583502","comcast"
"Information Systems","Male","3.00 - 3.49","2019","cincinnati","mind the value","Consulting","1","accepted fulltime job","Yes","Yes",52000,"Ohio","39.1014537","-84.5124602","mind the value"
"Marketing","Female","3.50 - 4.00","2019","pittsburgh","target","General Management
 Marketing / Sales","1","accepted fulltime job","Yes","Yes",52000,"Pennsylvania","40.4416941","-79.9900861","target"
